id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
11597	01-1473		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791706			8	1	2020-01-07	2020-01-07
11598	01-1787		USA	North America				Mycobacterium bovis	2001	Jaguar	SB0140	EU1			draft	ENA SRA	SRR1791707			8	1	2020-01-07	2020-01-07
11599	01-1920		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791709			8	1	2020-01-07	2020-01-07
11600	01-1951		USA	North America				Mycobacterium bovis	2001	Primate	SB2467	AF2			draft	ENA SRA	SRR1791710			8	1	2020-01-07	2020-01-07
11601	01-1954		USA	North America				Mycobacterium bovis	2001	Primate	SB2467	AF2			draft	ENA SRA	SRR1791712			8	1	2020-01-07	2020-01-07
11602	01-2011		USA	North America				Mycobacterium bovis	2001	Cow	SB2374	EU1			draft	ENA SRA	SRR7240488			8	1	2020-01-07	2020-01-07
11603	01-2185		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791713			8	1	2020-01-07	2020-01-07
11604	01-2217		USA	North America				Mycobacterium bovis	2001	Cow	SB0121	EU2			draft	ENA SRA	SRR1791714			8	1	2020-01-07	2020-01-07
11605	01-2374		USA	North America				Mycobacterium bovis	2001	Cow	SB0145	EU1			draft	ENA SRA	SRR1791715			8	1	2020-01-07	2020-01-07
11606	01-2486		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791717			8	1	2020-01-07	2020-01-07
11607	01-2536		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791720			8	1	2020-01-07	2020-01-07
11608	01-2656		USA	North America				Mycobacterium bovis	2001	Cow	SB0121	EU2			draft	ENA SRA	SRR1791722			8	1	2020-01-07	2020-01-07
11609	01-2736		USA	North America				Mycobacterium bovis	2001	Cow	SB0140	EU1			draft	ENA SRA	SRR7240489			8	1	2020-01-07	2020-01-07
11610	01-2757		USA	North America				Mycobacterium bovis	2001	Cow	SB1216	EU1			draft	ENA SRA	SRR1791723			8	1	2020-01-07	2020-01-07
11611	01-2934		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791724			8	1	2020-01-07	2020-01-07
11612	01-3176		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791725			8	1	2020-01-07	2020-01-07
11613	01-3240		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791726			8	1	2020-01-07	2020-01-07
11614	01-3302		USA	North America				Mycobacterium bovis	2001	Cow	SB0327	EU1			draft	ENA SRA	SRR1791727			8	1	2020-01-07	2020-01-07
11615	01-3442		USA	North America				Mycobacterium bovis	2001	Cow	SB0140	EU1			draft	ENA SRA	SRR1791728			8	1	2020-01-07	2020-01-07
11616	01-3568		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791729			8	1	2020-01-07	2020-01-07
11617	01-3906		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791732			8	1	2020-01-07	2020-01-07
11618	01-4048		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791734			8	1	2020-01-07	2020-01-07
11619	01-4049		USA	North America				Mycobacterium bovis	2001	Cow	SB1040	EU1			draft	ENA SRA	SRR7240490			8	1	2020-01-07	2020-01-07
11620	01-4106		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791735			8	1	2020-01-07	2020-01-07
11621	01-4280		USA	North America				Mycobacterium bovis	2001	Cow	SB0121	EU2			draft	ENA SRA	SRR1791736			8	1	2020-01-07	2020-01-07
11622	01-4282		USA	North America				Mycobacterium bovis	2001	Cow	SB0140	EU1			draft	ENA SRA	SRR7240491			8	1	2020-01-07	2020-01-07
11623	01-4283		USA	North America				Mycobacterium bovis	2001	Cow	SB0140	EU1			draft	ENA SRA	SRR1791737			8	1	2020-01-07	2020-01-07
11624	01-4286		USA	North America				Mycobacterium bovis	2001	Cow	SB0121	EU2			draft	ENA SRA	SRR7240492			8	1	2020-01-07	2020-01-07
11625	01-4577		USA	North America				Mycobacterium bovis	2001	Cow	SB0971	EU1			draft	ENA SRA	SRR1791739			8	1	2020-01-07	2020-01-07
11626	01-4726		USA	North America				Mycobacterium bovis	2001	Cow	SB2566	EU1			draft	ENA SRA	SRR1791740			8	1	2020-01-07	2020-01-07
11627	01-5127		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791741			8	1	2020-01-07	2020-01-07
11628	01-5243		USA	North America				Mycobacterium bovis	2001	Cow	SB1750	EU1			draft	ENA SRA	SRR1791742			8	1	2020-01-07	2020-01-07
11629	01-5367		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791743			8	1	2020-01-07	2020-01-07
11630	01-5389		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791744			8	1	2020-01-07	2020-01-07
11631	01-5441		USA	North America				Mycobacterium bovis	2001	Cow	SB0971	EU1			draft	ENA SRA	SRR1791745			8	1	2020-01-07	2020-01-07
11632	01-5518		USA	North America				Mycobacterium bovis	2001	Cow	SB0145	EU1			draft	ENA SRA	SRR1791746			8	1	2020-01-07	2020-01-07
11633	01-5639		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791747			8	1	2020-01-07	2020-01-07
11634	01-5640		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791748			8	1	2020-01-07	2020-01-07
11635	01-5647		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791749			8	1	2020-01-07	2020-01-07
11636	01-5648		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791750			8	1	2020-01-07	2020-01-07
11637	01-5694		USA	North America				Mycobacterium bovis	2001	Cow	SB0145	EU1			draft	ENA SRA	SRR1791751			8	1	2020-01-07	2020-01-07
11638	01-5745		USA	North America				Mycobacterium bovis	2001	Cow	SB2629	EU1			draft	ENA SRA	SRR1791752			8	1	2020-01-07	2020-01-07
11639	01-5862		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240493			8	1	2020-01-07	2020-01-07
11640	01-5945		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240494			8	1	2020-01-07	2020-01-07
11641	01-5946		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240495			8	1	2020-01-07	2020-01-07
11642	01-5947		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240496			8	1	2020-01-07	2020-01-07
11643	01-5948		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240497			8	1	2020-01-07	2020-01-07
11644	01-5950		USA	North America				Mycobacterium bovis	2001	Cow	New pattern	EU1			draft	ENA SRA	SRR1791754			8	1	2020-01-07	2020-01-07
11645	01-5951		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240022			8	1	2020-01-07	2020-01-07
11646	01-5952		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240023			8	1	2020-01-07	2020-01-07
11647	01-6030		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240024			8	1	2020-01-07	2020-01-07
11648	01-6031		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240025			8	1	2020-01-07	2020-01-07
11649	01-6032		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240018			8	1	2020-01-07	2020-01-07
11650	01-6106		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791755			8	1	2020-01-07	2020-01-07
11651	01-6168		USA	North America				Mycobacterium bovis	2001	Cow	SB0327	EU1			draft	ENA SRA	SRR1791756			8	1	2020-01-07	2020-01-07
11652	01-6184		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR7240019			8	1	2020-01-07	2020-01-07
11653	01-6318		USA	North America				Mycobacterium bovis	2001	Cow	SB0673	EU1			draft	ENA SRA	SRR1791758			8	1	2020-01-07	2020-01-07
11654	01-6410		USA	North America				Mycobacterium bovis	2001	Cow	SB0145	EU1			draft	ENA SRA	SRR1791759			8	1	2020-01-07	2020-01-07
11655	01-6428		USA	North America				Mycobacterium bovis	2001	Cow	SB1040	EU1			draft	ENA SRA	SRR1791760			8	1	2020-01-07	2020-01-07
11656	02-0011		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791761			8	1	2020-01-07	2020-01-07
11657	02-0175		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240020			8	1	2020-01-07	2020-01-07
11658	02-0252		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791762			8	1	2020-01-07	2020-01-07
11659	02-0253		USA	North America				Mycobacterium bovis	2002	Cow	SB2601	EU1			draft	ENA SRA	SRR1791763			8	1	2020-01-07	2020-01-07
11660	02-0302		USA	North America				Mycobacterium bovis	2002	Cow	SB1757	EU1			draft	ENA SRA	SRR1791765			8	1	2020-01-07	2020-01-07
11661	02-0309		USA	North America				Mycobacterium bovis	2002	Cow	SB0307	EU1			draft	ENA SRA	SRR1791766			8	1	2020-01-07	2020-01-07
11662	02-0357		USA	North America				Mycobacterium bovis	2002	Cow	SB0986	EU1			draft	ENA SRA	SRR1791767			8	1	2020-01-07	2020-01-07
11663	02-0394		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240021			8	1	2020-01-07	2020-01-07
11664	02-0419		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791769			8	1	2020-01-07	2020-01-07
11665	02-0493		USA	North America				Mycobacterium bovis	2002	Cow	SB0130	EU1			draft	ENA SRA	SRR1791770			8	1	2020-01-07	2020-01-07
11666	02-0585		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791773			8	1	2020-01-07	2020-01-07
11667	02-0690		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791774			8	1	2020-01-07	2020-01-07
11668	02-1331		USA	North America				Mycobacterium bovis	2002	Cow	SB0943	EU1			draft	ENA SRA	SRR1791777			8	1	2020-01-07	2020-01-07
11669	02-1368		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791778			8	1	2020-01-07	2020-01-07
11670	02-1370		USA	North America				Mycobacterium bovis	2002	Cow	SB1499	EU1			draft	ENA SRA	SRR1791779			8	1	2020-01-07	2020-01-07
11671	02-1405		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791781			8	1	2020-01-07	2020-01-07
11672	02-1463		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791782			8	1	2020-01-07	2020-01-07
11673	02-1464		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791783			8	1	2020-01-07	2020-01-07
11674	02-1465		USA	North America				Mycobacterium bovis	2002	Cow	SB1071	EU1			draft	ENA SRA	SRR1791784			8	1	2020-01-07	2020-01-07
11675	02-1531		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791785			8	1	2020-01-07	2020-01-07
11676	02-1559		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791786			8	1	2020-01-07	2020-01-07
11677	02-1561		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791787			8	1	2020-01-07	2020-01-07
11678	02-1579		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791788			8	1	2020-01-07	2020-01-07
11679	02-1589		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791789			8	1	2020-01-07	2020-01-07
11680	02-1637		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240027			8	1	2020-01-07	2020-01-07
11681	02-1641		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240183			8	1	2020-01-07	2020-01-07
11682	02-1642		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240182			8	1	2020-01-07	2020-01-07
11683	02-1644		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240185			8	1	2020-01-07	2020-01-07
11684	02-1654		USA	North America				Mycobacterium bovis	2002	Cow	SB0971	EU1			draft	ENA SRA	SRR7240184			8	1	2020-01-07	2020-01-07
11685	02-1672		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791790			8	1	2020-01-07	2020-01-07
11686	02-1699		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240187			8	1	2020-01-07	2020-01-07
11687	02-1715		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791791			8	1	2020-01-07	2020-01-07
11688	02-1790		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791792			8	1	2020-01-07	2020-01-07
11689	02-1831		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240186			8	1	2020-01-07	2020-01-07
11690	02-1834		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240189			8	1	2020-01-07	2020-01-07
11691	02-1839		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240188			8	1	2020-01-07	2020-01-07
11692	02-1939		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240191			8	1	2020-01-07	2020-01-07
11693	02-1943		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240190			8	1	2020-01-07	2020-01-07
11694	02-2159		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR7240342			8	1	2020-01-07	2020-01-07
11695	02-2284		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791794			8	1	2020-01-07	2020-01-07
11696	02-2680		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791796			8	1	2020-01-07	2020-01-07
11697	02-3019		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR1791797			8	1	2020-01-07	2020-01-07
11698	02-3096		USA	North America				Mycobacterium bovis	2002	Cow	SB2578	EU1			draft	ENA SRA	SRR1791798			8	1	2020-01-07	2020-01-07
11699	02-3163		USA	North America				Mycobacterium bovis	2002	Cow	SB0145	EU1			draft	ENA SRA	SRR7240340			8	1	2020-01-07	2020-01-07
11700	02-3165		USA	North America				Mycobacterium bovis	2002	Cow	SB0145	EU1			draft	ENA SRA	SRR1791799			8	1	2020-01-07	2020-01-07
11701	02-3168		USA	North America				Mycobacterium bovis	2002	Cow	SB0145	EU1			draft	ENA SRA	SRR1791800			8	1	2020-01-07	2020-01-07
11702	02-3276		USA	North America				Mycobacterium bovis	2002	Cow	SB2020	EU1			draft	ENA SRA	SRR1791801			8	1	2020-01-07	2020-01-07
11703	02-3307		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR1791802			8	1	2020-01-07	2020-01-07
11704	02-3401		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR1791804			8	1	2020-01-07	2020-01-07
11705	02-3424		USA	North America				Mycobacterium bovis	2002	Cow	SB1753	EU1			draft	ENA SRA	SRR7240341			8	1	2020-01-07	2020-01-07
11706	02-3571		USA	North America				Mycobacterium bovis	2002	Cervid	SB0140	EU1			draft	ENA SRA	SRR7240346			8	1	2020-01-07	2020-01-07
11707	02-3660		USA	North America				Mycobacterium bovis	2002	Cow	SB0145	EU1			draft	ENA SRA	SRR1791805			8	1	2020-01-07	2020-01-07
11708	02-3790		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791806			8	1	2020-01-07	2020-01-07
11709	02-3815		USA	North America				Mycobacterium bovis	2002	Cow	SB0145	EU1			draft	ENA SRA	SRR1791807			8	1	2020-01-07	2020-01-07
11710	02-4170		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791808			8	1	2020-01-07	2020-01-07
11711	02-4414		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791811			8	1	2020-01-07	2020-01-07
11712	02-4544		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791813			8	1	2020-01-07	2020-01-07
11713	02-4556		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791814			8	1	2020-01-07	2020-01-07
11714	02-4605		USA	North America				Mycobacterium bovis	2002	Cow	SB0130	EU1			draft	ENA SRA	SRR7240347			8	1	2020-01-07	2020-01-07
11715	02-4625		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791815			8	1	2020-01-07	2020-01-07
11716	02-4744		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR7240344			8	1	2020-01-07	2020-01-07
11717	02-5008		USA	North America				Mycobacterium bovis	2002	Cow	SB2020	EU1			draft	ENA SRA	SRR1791816			8	1	2020-01-07	2020-01-07
11718	02-5432		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240345			8	1	2020-01-07	2020-01-07
11719	02-5651		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791820			8	1	2020-01-07	2020-01-07
11720	02-5676		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791821			8	1	2020-01-07	2020-01-07
11721	02-5877		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791822			8	1	2020-01-07	2020-01-07
11722	02-5898		USA	North America				Mycobacterium bovis	2002	Cow	SB2644	EU1			draft	ENA SRA	SRR1791823			8	1	2020-01-07	2020-01-07
11723	02-5899		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR1791824			8	1	2020-01-07	2020-01-07
11724	02-6201		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791826			8	1	2020-01-07	2020-01-07
11725	02-6203		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791827			8	1	2020-01-07	2020-01-07
11726	02-6246		USA	North America				Mycobacterium bovis	2002	Cow	SB0140	EU1			draft	ENA SRA	SRR1791829			8	1	2020-01-07	2020-01-07
11727	02-6259		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR1791830			8	1	2020-01-07	2020-01-07
11728	02-6281		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791831			8	1	2020-01-07	2020-01-07
11729	02-6316		USA	North America				Mycobacterium bovis	2002	Cervid	SB0265	EU2			draft	ENA SRA	SRR1791832			8	1	2020-01-07	2020-01-07
11730	02-6426		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791833			8	1	2020-01-07	2020-01-07
11731	02-6427		USA	North America				Mycobacterium bovis	2002	Cow	SB1499	EU1			draft	ENA SRA	SRR1791834			8	1	2020-01-07	2020-01-07
11732	02-6429		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791835			8	1	2020-01-07	2020-01-07
11733	02-6430		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791836			8	1	2020-01-07	2020-01-07
11734	02-6431		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR1791837			8	1	2020-01-07	2020-01-07
11735	02-6432		USA	North America				Mycobacterium bovis	2002	Cow	SB0673	EU1			draft	ENA SRA	SRR7240348			8	1	2020-01-07	2020-01-07
11736	02-6437		USA	North America				Mycobacterium bovis	2002	Cow	SB0121	EU2			draft	ENA SRA	SRR7240349			8	1	2020-01-07	2020-01-07
11737	03-0196		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791840			8	1	2020-01-07	2020-01-07
11738	03-0248		USA	North America				Mycobacterium bovis	2003	Cow	SB0121	EU2			draft	ENA SRA	SRR1791841			8	1	2020-01-07	2020-01-07
11739	03-0280		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791842			8	1	2020-01-07	2020-01-07
11740	03-0425		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791843			8	1	2020-01-07	2020-01-07
11741	03-0429		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791844			8	1	2020-01-07	2020-01-07
11742	03-0430		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791845			8	1	2020-01-07	2020-01-07
11743	03-0431		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791846			8	1	2020-01-07	2020-01-07
11744	03-0453		USA	North America				Mycobacterium bovis	2003	Cow	SB0971	EU1			draft	ENA SRA	SRR1791847			8	1	2020-01-07	2020-01-07
11745	03-0562		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791848			8	1	2020-01-07	2020-01-07
11746	03-0666		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791849			8	1	2020-01-07	2020-01-07
11747	03-0700		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791850			8	1	2020-01-07	2020-01-07
11748	03-0701		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791851			8	1	2020-01-07	2020-01-07
11749	03-0702		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791852			8	1	2020-01-07	2020-01-07
11750	03-0703		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791853			8	1	2020-01-07	2020-01-07
11751	03-0860		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791855			8	1	2020-01-07	2020-01-07
11752	03-1031		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791856			8	1	2020-01-07	2020-01-07
11753	03-1438		USA	North America				Mycobacterium bovis	2003	Cow	SB0121	EU2			draft	ENA SRA	SRR1791858			8	1	2020-01-07	2020-01-07
11754	03-1766		USA	North America				Mycobacterium bovis	2003	Cow	SB0145	EU1			draft	ENA SRA	SRR1791859			8	1	2020-01-07	2020-01-07
11755	03-1852		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791860			8	1	2020-01-07	2020-01-07
11756	03-1917		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791861			8	1	2020-01-07	2020-01-07
11757	03-1926		USA	North America				Mycobacterium bovis	2003	Cow	SB1750	EU1			draft	ENA SRA	SRR1791862			8	1	2020-01-07	2020-01-07
11758	03-2120		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791864			8	1	2020-01-07	2020-01-07
11759	03-2614		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791866			8	1	2020-01-07	2020-01-07
11760	03-2617		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791867			8	1	2020-01-07	2020-01-07
11761	03-2618		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR7240357			8	1	2020-01-07	2020-01-07
11762	03-2620		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791868			8	1	2020-01-07	2020-01-07
11763	03-2622		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791869			8	1	2020-01-07	2020-01-07
11764	03-2623		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR7240356			8	1	2020-01-07	2020-01-07
11765	03-2627		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR7240355			8	1	2020-01-07	2020-01-07
11766	03-2628		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR7240354			8	1	2020-01-07	2020-01-07
11767	03-2629		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791870			8	1	2020-01-07	2020-01-07
11768	03-2704		USA	North America				Mycobacterium bovis	2003	Cow	SB0130	EU1			draft	ENA SRA	SRR1791871			8	1	2020-01-07	2020-01-07
11769	03-2766		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791872			8	1	2020-01-07	2020-01-07
11770	03-2994		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791875			8	1	2020-01-07	2020-01-07
11771	03-2995		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791876			8	1	2020-01-07	2020-01-07
11772	03-3339		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791877			8	1	2020-01-07	2020-01-07
11773	03-3386		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR7240353			8	1	2020-01-07	2020-01-07
11774	03-3568		USA	North America				Mycobacterium bovis	2003	Cow	SB0327	EU1			draft	ENA SRA	SRR1791878			8	1	2020-01-07	2020-01-07
11775	03-3701		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791879			8	1	2020-01-07	2020-01-07
11776	03-4006		USA	North America				Mycobacterium bovis	2003	Cow	SB1345	EU2			draft	ENA SRA	SRR1791880			8	1	2020-01-07	2020-01-07
11777	03-4181		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791881			8	1	2020-01-07	2020-01-07
11778	03-4227		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791882			8	1	2020-01-07	2020-01-07
