id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
14514	HCMC1361		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073806			8	8	2020-01-09	2020-01-09
14515	HCMC1127		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073808			8	8	2020-01-09	2020-01-09
14516	HCMC1038		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073812			8	8	2020-01-09	2020-01-09
14517	HCMC1010		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073813			8	8	2020-01-09	2020-01-09
14518	HCMC1083		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073826			8	8	2020-01-09	2020-01-09
14519	HCMC1428		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073831			8	8	2020-01-09	2020-01-09
14520	HCMC1384		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073841			8	8	2020-01-09	2020-01-09
14521	HCMC1309		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073844			8	8	2020-01-09	2020-01-09
14522	HCMC1312		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073846			8	8	2020-01-09	2020-01-09
14523	HCMC1477		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073848			8	8	2020-01-09	2020-01-09
14524	HCMC1051		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073850			8	8	2020-01-09	2020-01-09
14525	HCMC1077		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073857			8	8	2020-01-09	2020-01-09
14526	HCMC1276		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073858			8	8	2020-01-09	2020-01-09
14527	HCMC1342		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073874			8	8	2020-01-09	2020-01-09
14528	HCMC1103		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073881			8	8	2020-01-09	2020-01-09
14529	HCMC1234		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073885			8	8	2020-01-09	2020-01-09
14530	HCMC1393		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073889			8	8	2020-01-09	2020-01-09
14531	HCMC1460		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073891			8	8	2020-01-09	2020-01-09
14532	HCMC1004		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073898			8	8	2020-01-09	2020-01-09
14533	HCMC1174		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073899			8	8	2020-01-09	2020-01-09
14534	HCMC1089		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073901			8	8	2020-01-09	2020-01-09
14535	HCMC1008		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073905			8	8	2020-01-09	2020-01-09
14536	HCMC1451		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073912			8	8	2020-01-09	2020-01-09
14537	HCMC1228		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073915			8	8	2020-01-09	2020-01-09
14538	HCMC1200		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073919			8	8	2020-01-09	2020-01-09
14539	HCMC1488		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073926			8	8	2020-01-09	2020-01-09
14540	HCMC1171		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073932			8	8	2020-01-09	2020-01-09
14541	HCMC1348		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073939			8	8	2020-01-09	2020-01-09
14542	HCMC1409		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073944			8	8	2020-01-09	2020-01-09
14543	HCMC1480		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073952			8	8	2020-01-09	2020-01-09
14544	HCMC1405		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073954			8	8	2020-01-09	2020-01-09
14545	HCMC1310		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073955			8	8	2020-01-09	2020-01-09
14546	HCMC1374		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073956			8	8	2020-01-09	2020-01-09
14547	HCMC1026		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073969			8	8	2020-01-09	2020-01-09
14548	HCMC1299		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073971			8	8	2020-01-09	2020-01-09
14549	HCMC1362		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073973			8	8	2020-01-09	2020-01-09
14550	HCMC1445		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073977			8	8	2020-01-09	2020-01-09
14551	HCMC1355		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073980			8	8	2020-01-09	2020-01-09
14552	HCMC1383		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073987			8	8	2020-01-09	2020-01-09
14553	HCMC1024		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073988			8	8	2020-01-09	2020-01-09
14554	HCMC1624		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074056			8	8	2020-01-09	2020-01-09
14555	HCMC1519		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074057			8	8	2020-01-09	2020-01-09
14556	HCMC1540		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074083			8	8	2020-01-09	2020-01-09
14557	HCMC1575		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074085			8	8	2020-01-09	2020-01-09
14558	HCMC1609		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074086			8	8	2020-01-09	2020-01-09
14559	HCMC1602		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074090			8	8	2020-01-09	2020-01-09
14560	HCMC1551		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074092			8	8	2020-01-09	2020-01-09
14561	HCMC1581		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074097			8	8	2020-01-09	2020-01-09
14562	HCMC1583		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074099			8	8	2020-01-09	2020-01-09
14563	HCMC1545		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074106			8	8	2020-01-09	2020-01-09
14564	HCMC1504		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074115			8	8	2020-01-09	2020-01-09
14565	HCMC1532		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074118			8	8	2020-01-09	2020-01-09
14566	HCMC1600		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074120			8	8	2020-01-09	2020-01-09
14567	HCMC1543		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074126			8	8	2020-01-09	2020-01-09
14568	HCMC1515		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074128			8	8	2020-01-09	2020-01-09
14569	HCMC1588		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074129			8	8	2020-01-09	2020-01-09
14570	HCMC1508		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074131			8	8	2020-01-09	2020-01-09
14571	HCMC1626		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074132			8	8	2020-01-09	2020-01-09
14572	HCMC1503		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074133			8	8	2020-01-09	2020-01-09
14573	HCMC1558		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074134			8	8	2020-01-09	2020-01-09
14574	HCMC1525		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074135			8	8	2020-01-09	2020-01-09
14575	HCMC1574		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074143			8	8	2020-01-09	2020-01-09
14576	HCMC1544		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074145			8	8	2020-01-09	2020-01-09
14577	HCMC1601		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074152			8	8	2020-01-09	2020-01-09
14578	HCMC1573		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074167			8	8	2020-01-09	2020-01-09
14579	HCMC1549		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074172			8	8	2020-01-09	2020-01-09
14580	HCMC1499		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5074177			8	8	2020-01-09	2020-01-09
14581	HCMC1177		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073510			8	8	2020-01-09	2020-01-09
14582	HCMC1047		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073539			8	8	2020-01-09	2020-01-09
14583	HCMC1421		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073617			8	8	2020-01-09	2020-01-09
14584	HCMC1281		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073832			8	8	2020-01-09	2020-01-09
14585	HCMC1339		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073847			8	8	2020-01-09	2020-01-09
14586	HCMC1014		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073849			8	8	2020-01-09	2020-01-09
14587	HCMC1184		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073869			8	8	2020-01-09	2020-01-09
