BioSample	host_species
SAMEA1019306	Homo sapiens
SAMEA1019308	Homo sapiens
SAMEA1019309	Homo sapiens
SAMEA1019313	Homo sapiens
SAMEA1019315	Homo sapiens
SAMEA1019317	Homo sapiens
SAMEA1019318	Homo sapiens
SAMEA1019321	Homo sapiens
SAMEA1019322	Homo sapiens
SAMEA1019323	Homo sapiens
SAMEA1019324	Homo sapiens
SAMEA1019330	Homo sapiens
SAMEA104027311	Homo sapiens
SAMEA104679304	Homo sapiens
SAMEA104679305	Homo sapiens
SAMEA1317617	Homo sapiens
SAMEA1317618	Homo sapiens
SAMEA1317619	Homo sapiens
SAMEA1317620	Homo sapiens
SAMEA1317621	Homo sapiens
SAMEA1317622	Homo sapiens
SAMEA1317623	Homo sapiens
SAMEA1317624	Homo sapiens
SAMEA1317625	Homo sapiens
SAMEA1317626	Homo sapiens
SAMEA1317627	Homo sapiens
SAMEA1317628	Homo sapiens
SAMEA1317629	Homo sapiens
SAMEA1317630	Homo sapiens
SAMEA1317631	Homo sapiens
SAMEA1317632	Homo sapiens
SAMEA1317633	Homo sapiens
SAMEA1317634	Homo sapiens
SAMEA1317635	Homo sapiens
SAMEA1317636	Homo sapiens
SAMEA1317637	Homo sapiens
SAMEA1317638	Homo sapiens
SAMEA1317639	Homo sapiens
SAMEA1317641	Homo sapiens
SAMEA1317642	Homo sapiens
SAMEA1317643	Homo sapiens
SAMEA1317644	Homo sapiens
SAMEA1317645	Homo sapiens
SAMEA1317646	Homo sapiens
SAMEA1317647	Homo sapiens
SAMEA1317648	Homo sapiens
SAMEA1317649	Homo sapiens
SAMEA1317650	Homo sapiens
SAMEA1317651	Homo sapiens
SAMEA1317652	Homo sapiens
SAMEA1317653	Homo sapiens
SAMEA1317654	Homo sapiens
SAMEA1317655	Homo sapiens
SAMEA1317656	Homo sapiens
SAMEA1317657	Homo sapiens
SAMEA1317658	Homo sapiens
SAMEA1317659	Homo sapiens
SAMEA1317660	Homo sapiens
SAMEA1317661	Homo sapiens
SAMEA1317662	Homo sapiens
SAMEA1317663	Homo sapiens
SAMEA1317664	Homo sapiens
SAMEA1317665	Homo sapiens
SAMEA1317666	Homo sapiens
SAMEA1317667	Homo sapiens
SAMEA1317668	Homo sapiens
SAMEA1317669	Homo sapiens
SAMEA1317670	Homo sapiens
SAMEA1317671	Homo sapiens
SAMEA1317672	Homo sapiens
SAMEA1317673	Homo sapiens
SAMEA1317674	Homo sapiens
SAMEA1317675	Homo sapiens
SAMEA1317676	Homo sapiens
SAMEA1317677	Homo sapiens
SAMEA1317678	Homo sapiens
SAMEA13188682	Homo sapiens
SAMEA13188685	Homo sapiens
SAMEA13188688	Homo sapiens
SAMEA13188689	Homo sapiens
SAMEA13188715	Homo sapiens
SAMEA13188731	Homo sapiens
SAMEA1403548	Homo sapiens
SAMEA1403549	Homo sapiens
SAMEA1403550	Homo sapiens
SAMEA1403551	Homo sapiens
SAMEA1403552	Homo sapiens
SAMEA1403553	Homo sapiens
SAMEA1403554	Homo sapiens
SAMEA1403555	Homo sapiens
SAMEA1403556	Homo sapiens
SAMEA1403557	Homo sapiens
SAMEA1403558	Homo sapiens
SAMEA1403559	Homo sapiens
SAMEA1403560	Homo sapiens
SAMEA1403561	Homo sapiens
SAMEA1403562	Homo sapiens
SAMEA1403563	Homo sapiens
SAMEA1403564	Homo sapiens
SAMEA1403565	Homo sapiens
SAMEA1403566	Homo sapiens
SAMEA1403567	Homo sapiens
SAMEA1403568	Homo sapiens
SAMEA1403569	Homo sapiens
SAMEA1403570	Homo sapiens
SAMEA1403571	Homo sapiens
SAMEA1403572	Homo sapiens
SAMEA1403573	Homo sapiens
SAMEA1403574	Homo sapiens
SAMEA1403575	Homo sapiens
SAMEA1403576	Homo sapiens
SAMEA1403577	Homo sapiens
SAMEA1403578	Homo sapiens
SAMEA1403579	Homo sapiens
SAMEA1403580	Homo sapiens
SAMEA1403581	Homo sapiens
SAMEA1403582	Homo sapiens
SAMEA1403583	Homo sapiens
SAMEA1403584	Homo sapiens
SAMEA1403585	Homo sapiens
SAMEA1403586	Homo sapiens
SAMEA1403587	Homo sapiens
SAMEA1403588	Homo sapiens
SAMEA1403589	Homo sapiens
SAMEA1403590	Homo sapiens
SAMEA1403591	Homo sapiens
SAMEA1403592	Homo sapiens
SAMEA1403593	Homo sapiens
SAMEA1403594	Homo sapiens
SAMEA1403595	Homo sapiens
SAMEA1403596	Homo sapiens
SAMEA1403597	Homo sapiens
SAMEA1403598	Homo sapiens
SAMEA1403599	Homo sapiens
SAMEA1403600	Homo sapiens
SAMEA1403602	Homo sapiens
SAMEA1403603	Homo sapiens
SAMEA1403604	Homo sapiens
SAMEA1403605	Homo sapiens
SAMEA1403606	Homo sapiens
SAMEA1403607	Homo sapiens
SAMEA1403608	Homo sapiens
SAMEA1403609	Homo sapiens
SAMEA1403610	Homo sapiens
SAMEA1403611	Homo sapiens
SAMEA1403612	Homo sapiens
SAMEA1403613	Homo sapiens
SAMEA1403614	Homo sapiens
SAMEA1403615	Homo sapiens
SAMEA1403617	Homo sapiens
SAMEA1403618	Homo sapiens
SAMEA1403619	Homo sapiens
SAMEA1403620	Homo sapiens
SAMEA1403621	Homo sapiens
SAMEA1403622	Homo sapiens
SAMEA1403623	Homo sapiens
SAMEA1403624	Homo sapiens
SAMEA1403625	Homo sapiens
SAMEA1403626	Homo sapiens
SAMEA1403627	Homo sapiens
SAMEA1403628	Homo sapiens
SAMEA1403629	Homo sapiens
SAMEA1403630	Homo sapiens
SAMEA1403631	Homo sapiens
SAMEA1403632	Homo sapiens
SAMEA1403633	Homo sapiens
SAMEA1403635	Homo sapiens
SAMEA1403636	Homo sapiens
SAMEA1403637	Homo sapiens
SAMEA1403638	Homo sapiens
SAMEA1403640	Homo sapiens
SAMEA1403641	Homo sapiens
SAMEA1403642	Homo sapiens
SAMEA1403643	Homo sapiens
SAMEA1403644	Homo sapiens
SAMEA1403645	Homo sapiens
SAMEA1403646	Homo sapiens
SAMEA1403647	Homo sapiens
SAMEA1403648	Homo sapiens
SAMEA1403649	Homo sapiens
SAMEA1403651	Homo sapiens
SAMEA1403652	Homo sapiens
SAMEA1403653	Homo sapiens
SAMEA1403654	Homo sapiens
SAMEA1403655	Homo sapiens
SAMEA1403656	Homo sapiens
SAMEA1403657	Homo sapiens
SAMEA1403658	Homo sapiens
SAMEA1403659	Homo sapiens
SAMEA1403660	Homo sapiens
SAMEA1403661	Homo sapiens
SAMEA1403662	Homo sapiens
SAMEA1403664	Homo sapiens
SAMEA1403665	Homo sapiens
SAMEA1403666	Homo sapiens
SAMEA1403667	Homo sapiens
SAMEA1403668	Homo sapiens
SAMEA1403669	Homo sapiens
SAMEA1403670	Homo sapiens
SAMEA1403671	Homo sapiens
SAMEA1403672	Homo sapiens
SAMEA1403673	Homo sapiens
SAMEA1403675	Homo sapiens
SAMEA1403676	Homo sapiens
SAMEA1403677	Homo sapiens
SAMEA1403678	Homo sapiens
SAMEA1403679	Homo sapiens
SAMEA1403680	Homo sapiens
SAMEA1403681	Homo sapiens
SAMEA1403682	Homo sapiens
SAMEA1403683	Homo sapiens
SAMEA1403684	Homo sapiens
SAMEA1403685	Homo sapiens
SAMEA1403686	Homo sapiens
SAMEA1403687	Homo sapiens
SAMEA1403688	Homo sapiens
SAMEA1403689	Homo sapiens
SAMEA1403690	Homo sapiens
SAMEA1403691	Homo sapiens
SAMEA1403692	Homo sapiens
SAMEA1403693	Homo sapiens
SAMEA1403694	Homo sapiens
SAMEA1403695	Homo sapiens
SAMEA1403696	Homo sapiens
SAMEA1403697	Homo sapiens
SAMEA1403698	Homo sapiens
SAMEA1403699	Homo sapiens
SAMEA1403700	Homo sapiens
SAMEA1403701	Homo sapiens
SAMEA1403702	Homo sapiens
SAMEA1403703	Homo sapiens
SAMEA1403704	Homo sapiens
SAMEA1403705	Homo sapiens
SAMEA1403706	Homo sapiens
SAMEA1403707	Homo sapiens
SAMEA1403708	Homo sapiens
SAMEA1403709	Homo sapiens
SAMEA1403710	Homo sapiens
SAMEA1403711	Homo sapiens
SAMEA1403712	Homo sapiens
SAMEA1403713	Homo sapiens
SAMEA1403714	Homo sapiens
SAMEA1403715	Homo sapiens
SAMEA1403716	Homo sapiens
SAMEA1403717	Homo sapiens
SAMEA1403718	Homo sapiens
SAMEA1403719	Homo sapiens
SAMEA1403720	Homo sapiens
SAMEA1403721	Homo sapiens
SAMEA1403722	Homo sapiens
SAMEA1403723	Homo sapiens
SAMEA1403725	Homo sapiens
SAMEA1403726	Homo sapiens
SAMEA1403727	Homo sapiens
SAMEA1403728	Homo sapiens
SAMEA1403729	Homo sapiens
SAMEA1403730	Homo sapiens
SAMEA1403731	Homo sapiens
SAMEA1403732	Homo sapiens
SAMEA1403734	Homo sapiens
SAMEA1403735	Homo sapiens
SAMEA1403736	Homo sapiens
SAMEA1403737	Homo sapiens
SAMEA1403738	Homo sapiens
SAMEA1403739	Homo sapiens
SAMEA1403740	Homo sapiens
SAMEA1403741	Homo sapiens
SAMEA1403743	Homo sapiens
SAMEA1403744	Homo sapiens
SAMEA1403745	Homo sapiens
SAMEA1403746	Homo sapiens
SAMEA1403747	Homo sapiens
SAMEA1403748	Homo sapiens
SAMEA1403749	Homo sapiens
SAMEA1403750	Homo sapiens
SAMEA1403751	Homo sapiens
SAMEA1403752	Homo sapiens
SAMEA1403753	Homo sapiens
SAMEA1403754	Homo sapiens
SAMEA1403756	Homo sapiens
SAMEA1403757	Homo sapiens
SAMEA1403758	Homo sapiens
SAMEA1403759	Homo sapiens
SAMEA1403760	Homo sapiens
SAMEA1403761	Homo sapiens
SAMEA1403762	Homo sapiens
SAMEA1403763	Homo sapiens
SAMEA1403764	Homo sapiens
SAMEA1403765	Homo sapiens
SAMEA1403766	Homo sapiens
SAMEA1403767	Homo sapiens
SAMEA1403768	Homo sapiens
SAMEA1403769	Homo sapiens
SAMEA1403770	Homo sapiens
SAMEA1403771	Homo sapiens
SAMEA1403772	Homo sapiens
SAMEA1403773	Homo sapiens
SAMEA1403774	Homo sapiens
SAMEA1403775	Homo sapiens
SAMEA1403776	Homo sapiens
SAMEA1403777	Homo sapiens
SAMEA1403778	Homo sapiens
SAMEA1403779	Homo sapiens
SAMEA1403780	Homo sapiens
SAMEA1403781	Homo sapiens
SAMEA1403782	Homo sapiens
SAMEA1403783	Homo sapiens
SAMEA1403784	Homo sapiens
SAMEA1403785	Homo sapiens
SAMEA1403786	Homo sapiens
SAMEA1403787	Homo sapiens
SAMEA1403790	Homo sapiens
SAMEA1403791	Homo sapiens
SAMEA1403792	Homo sapiens
SAMEA1403793	Homo sapiens
SAMEA1403795	Homo sapiens
SAMEA1403796	Homo sapiens
SAMEA1403797	Homo sapiens
SAMEA1403798	Homo sapiens
SAMEA1403799	Homo sapiens
SAMEA1403800	Homo sapiens
SAMEA1403801	Homo sapiens
SAMEA1403803	Homo sapiens
SAMEA1403805	Homo sapiens
SAMEA1403806	Homo sapiens
SAMEA1403807	Homo sapiens
SAMEA1403808	Homo sapiens
SAMEA1403810	Homo sapiens
SAMEA1403811	Homo sapiens
SAMEA1403812	Homo sapiens
SAMEA1403813	Homo sapiens
SAMEA1403814	Homo sapiens
SAMEA1403815	Homo sapiens
SAMEA1403816	Homo sapiens
SAMEA1403817	Homo sapiens
SAMEA1403818	Homo sapiens
SAMEA1403819	Homo sapiens
SAMEA1403821	Homo sapiens
SAMEA1403822	Homo sapiens
SAMEA1403823	Homo sapiens
SAMEA1403824	Homo sapiens
SAMEA1403825	Homo sapiens
SAMEA1403826	Homo sapiens
SAMEA1403827	Homo sapiens
SAMEA1403828	Homo sapiens
SAMEA1403829	Homo sapiens
SAMEA1403830	Homo sapiens
SAMEA1403831	Homo sapiens
SAMEA1403832	Homo sapiens
SAMEA1403833	Homo sapiens
SAMEA1403834	Homo sapiens
SAMEA1403835	Homo sapiens
SAMEA1403836	Homo sapiens
SAMEA1403837	Homo sapiens
SAMEA1403838	Homo sapiens
SAMEA1403840	Homo sapiens
SAMEA1403841	Homo sapiens
SAMEA1403842	Homo sapiens
SAMEA1403843	Homo sapiens
SAMEA1403845	Homo sapiens
SAMEA1403847	Homo sapiens
SAMEA1403848	Homo sapiens
SAMEA1403849	Homo sapiens
SAMEA1403850	Homo sapiens
SAMEA1403851	Homo sapiens
SAMEA1403852	Homo sapiens
SAMEA1403853	Homo sapiens
SAMEA1403854	Homo sapiens
