BioSample	country
SAMEA1403598	Russia
SAMEA1403599	Russia
SAMEA1403600	Russia
SAMEA1403602	Russia
SAMEA1403603	Russia
SAMEA1403604	Russia
SAMEA1403605	Russia
SAMEA1403606	Russia
SAMEA1403607	Russia
SAMEA1403608	Russia
SAMEA1403609	Russia
SAMEA1403610	Russia
SAMEA1403611	Russia
SAMEA1403612	Russia
SAMEA1403613	Russia
SAMEA1403614	Russia
SAMEA1403615	Russia
SAMEA1403617	Russia
SAMEA1403618	Russia
SAMEA1403619	Russia
SAMEA1403620	Russia
SAMEA1403621	Russia
SAMEA1403622	Russia
SAMEA1403623	Russia
SAMEA1403624	Russia
SAMEA1403625	Russia
SAMEA1403626	Russia
SAMEA1403627	Russia
SAMEA1403628	Russia
SAMEA1403629	Russia
SAMEA1403630	Russia
SAMEA1403631	Russia
SAMEA1403632	Russia
SAMEA1403633	Russia
SAMEA1403635	Russia
SAMEA1403636	Russia
SAMEA1403637	Russia
SAMEA1403638	Russia
SAMEA1403640	Russia
SAMEA1403641	Russia
SAMEA1403642	Russia
SAMEA1403643	Russia
SAMEA1403644	Russia
SAMEA1403645	Russia
SAMEA1403646	Russia
SAMEA1403647	Russia
SAMEA1403648	Russia
SAMEA1403649	Russia
SAMEA1403651	Russia
SAMEA1403652	Russia
SAMEA1403653	Russia
SAMEA1403654	Russia
SAMEA1403655	Russia
SAMEA1403656	Russia
SAMEA1403657	Russia
SAMEA1403658	Russia
SAMEA1403659	Russia
SAMEA1403660	Russia
SAMEA1403661	Russia
SAMEA1403662	Russia
SAMEA1403664	Russia
SAMEA1403665	Russia
SAMEA1403666	Russia
SAMEA1403667	Russia
SAMEA1403668	Russia
SAMEA1403669	Russia
SAMEA1403670	Russia
SAMEA1403671	Russia
SAMEA1403672	Russia
SAMEA1403673	Russia
SAMEA1403675	Russia
SAMEA1403676	Russia
SAMEA1403677	Russia
SAMEA1403678	Russia
SAMEA1403679	Russia
SAMEA1403680	Russia
SAMEA1403681	Russia
SAMEA1403682	Russia
SAMEA1403683	Russia
SAMEA1403684	Russia
SAMEA1403685	Russia
SAMEA1403686	Russia
SAMEA1403687	Russia
SAMEA1403688	Russia
SAMEA1403689	Russia
SAMEA1403690	Russia
SAMEA1403691	Russia
SAMEA1403692	Russia
SAMEA1403693	Russia
SAMEA1403694	Russia
SAMEA1403695	Russia
SAMEA1403696	Russia
SAMEA1403697	Russia
SAMEA1403698	Russia
SAMEA1403699	Russia
SAMEA1403700	Russia
SAMEA1403701	Russia
SAMEA1403702	Russia
SAMEA1403703	Russia
SAMEA1403704	Russia
SAMEA1403705	Russia
SAMEA1403706	Russia
SAMEA1403707	Russia
SAMEA1403708	Russia
SAMEA1403709	Russia
SAMEA1403710	Russia
SAMEA1403711	Russia
SAMEA1403712	Russia
SAMEA1403713	Russia
SAMEA1403714	Russia
SAMEA1403715	Russia
SAMEA1403716	Russia
SAMEA1403717	Russia
SAMEA1403718	Russia
SAMEA1403719	Russia
SAMEA1403720	Russia
SAMEA1403721	Russia
SAMEA1403722	Russia
SAMEA1403723	Russia
SAMEA1403725	Russia
SAMEA1403726	Russia
SAMEA1403727	Russia
SAMEA1403728	Russia
SAMEA1403729	Russia
SAMEA1403730	Russia
SAMEA1403731	Russia
SAMEA1403732	Russia
SAMEA1403734	Russia
SAMEA1403735	Russia
SAMEA1403736	Russia
SAMEA1403737	Russia
SAMEA1403738	Russia
SAMEA1403739	Russia
SAMEA1403740	Russia
SAMEA1403741	Russia
SAMEA1403743	Russia
SAMEA1403744	Russia
SAMEA1403745	Russia
SAMEA1403746	Russia
SAMEA1403747	Russia
SAMEA1403748	Russia
SAMEA1403749	Russia
SAMEA1403750	Russia
SAMEA1403751	Russia
SAMEA1403752	Russia
SAMEA1403753	Russia
SAMEA1403754	Russia
SAMEA1403756	Russia
SAMEA1403757	Russia
SAMEA1403758	Russia
SAMEA1403759	Russia
SAMEA1403760	Russia
SAMEA1403761	Russia
SAMEA1403762	Russia
SAMEA1403763	Russia
SAMEA1403764	Russia
SAMEA1403765	Russia
SAMEA1403766	Russia
SAMEA1403767	Russia
SAMEA1403768	Russia
SAMEA1403769	Russia
SAMEA1403770	Russia
SAMEA1403771	Russia
SAMEA1403772	Russia
SAMEA1403773	Russia
SAMEA1403774	Russia
SAMEA1403775	Russia
SAMEA1403776	Russia
SAMEA1403777	Russia
SAMEA1403778	Russia
