BioSample	host_tissue_sampled
SAMN02599146	Sputum
SAMN02599147	Sputum
SAMN02599148	Sputum
SAMN02599149	Sputum
SAMN02599150	Sputum
SAMN02599151	Sputum
SAMN02599152	Sputum
SAMN02599153	Sputum
SAMN02599154	Sputum
SAMN02599156	Sputum
SAMN02599157	Sputum
SAMN02599158	Sputum
SAMN02599159	Sputum
SAMN02599160	Sputum
SAMN02599161	Sputum
SAMN02599162	Sputum
SAMN02599163	Sputum
SAMN02599164	Sputum
SAMN02599165	Sputum
SAMN02599167	Sputum
SAMN02599168	Sputum
SAMN02599169	Sputum
SAMN02599170	Sputum
SAMN02599171	Sputum
SAMN02599172	Sputum
SAMN02599173	Sputum
SAMN02599174	Sputum
SAMN02599175	Sputum
SAMN02599176	Sputum
SAMN02599177	Sputum
SAMN02599179	Sputum
SAMN02599180	Sputum
SAMN02599181	Sputum
SAMN02599182	Sputum
SAMN02599183	Sputum
SAMN02599184	Sputum
SAMN02603011	Sputum
SAMN02688394	Sputum
SAMN02713587	Sputum
SAMN02731427	Cerebrospinal fluid
SAMN02767600	Sputum
SAMN02777350	Sputum
SAMN02797826	Sputum
SAMN02797828	Sputum
SAMN02819975	Sputum
SAMN02819976	Sputum
SAMN02819977	Sputum
SAMN02819978	Sputum
SAMN02820311	Sputum
SAMN02837622	Pleural fluid
SAMN02837623	Cerebrospinal fluid
SAMN02837624	Lung
SAMN02837625	Lung
SAMN02837626	Sputum
SAMN02837627	Sputum
SAMN02837628	Sputum
SAMN02837629	Sputum
SAMN02837630	Sputum
SAMN02837631	Pancreas
SAMN02837632	Sputum
SAMN02837633	Sputum
SAMN02837634	Bronchial fluid
SAMN02837635	Bronchial fluid
SAMN02837636	Sputum
SAMN02837637	Sputum
SAMN02837638	Bronchial fluid
SAMN02837639	Sputum
SAMN02837640	Sputum
SAMN02837641	Bronchial fluid
SAMN02837642	Testis
SAMN02837643	Sputum
SAMN02837644	Sputum
SAMN02837645	Sputum
SAMN02837646	Lymph nodes
SAMN02837647	Sputum
SAMN02837648	Sputum
SAMN02837649	Bronchial fluid
SAMN02837650	Bronchial fluid
SAMN02837651	Sputum
SAMN02837652	Sputum
SAMN02837653	Bronchial fluid
SAMN02837654	Bronchial fluid
SAMN02837655	Kidney
SAMN02837656	Sputum
SAMN02837657	Sputum
SAMN02837658	Bronchus
SAMN02848645	Sputum
SAMN02864847	Sputum
SAMN02864881	Sputum
SAMN02864882	Sputum
SAMN02864883	Sputum
SAMN02864884	Sputum
SAMN02864885	Sputum
SAMN02864886	Sputum
