BioSample	host_disease
SAMN16406476	Tuberculosis
SAMN16406477	Tuberculosis
SAMN16406478	Tuberculosis
SAMN16406479	Tuberculosis
SAMN16808033	Tuberculosis
SAMN16808034	Tuberculosis
SAMN16808035	Tuberculosis
SAMN16808036	Tuberculosis
SAMN16808037	Tuberculosis
SAMN16808038	Tuberculosis
SAMN16808039	Tuberculosis
SAMN16808040	Tuberculosis
SAMN16808041	Tuberculosis
SAMN16808042	Tuberculosis
SAMN16808043	Tuberculosis
SAMN16808044	Tuberculosis
SAMN16808045	Tuberculosis
SAMN16808046	Tuberculosis
SAMN16808047	Tuberculosis
SAMN16808048	Tuberculosis
SAMN16808049	Tuberculosis
SAMN16808050	Tuberculosis
SAMN16808051	Tuberculosis
SAMN16808052	Tuberculosis
SAMN16808053	Tuberculosis
SAMN16808054	Tuberculosis
SAMN16808055	Tuberculosis
SAMN16808056	Tuberculosis
SAMN16808057	Tuberculosis
SAMN16808058	Tuberculosis
SAMN16808059	Tuberculosis
SAMN16808060	Tuberculosis
SAMN16808061	Tuberculosis
SAMN16808062	Tuberculosis
SAMN16808063	Tuberculosis
SAMN16808064	Tuberculosis
SAMN16808065	Tuberculosis
SAMN16808066	Tuberculosis
SAMN16808067	Tuberculosis
SAMN16808068	Tuberculosis
SAMN16808069	Tuberculosis
SAMN16808070	Tuberculosis
SAMN16808071	Tuberculosis
SAMN16808072	Tuberculosis
SAMN16808073	Tuberculosis
SAMN16808074	Tuberculosis
SAMN16808075	Tuberculosis
SAMN16808076	Tuberculosis
SAMN16808077	Tuberculosis
SAMN16808078	Tuberculosis
SAMN16808079	Tuberculosis
SAMN16808080	Tuberculosis
SAMN16808081	Tuberculosis
SAMN16808082	Tuberculosis
SAMN16808083	Tuberculosis
SAMN16808084	Tuberculosis
SAMN16808085	Tuberculosis
SAMN16808086	Tuberculosis
SAMN16808087	Tuberculosis
SAMN16808088	Tuberculosis
SAMN17832565	Pulmonary Tuberculosis
SAMN18056856	Tuberculosis
SAMN18056929	Tuberculosis
SAMN18264920	Bovine tuberculosis
SAMN18264921	Bovine tuberculosis
SAMN18478719	Pulmonary Tuberculosis
SAMN18478723	Pulmonary Tuberculosis
SAMN18478725	Pulmonary Tuberculosis
SAMN18478726	Pulmonary Tuberculosis
SAMN18478735	Pulmonary Tuberculosis
SAMN18478737	Pulmonary Tuberculosis
SAMN18478738	Pulmonary Tuberculosis
SAMN18478739	Pulmonary Tuberculosis
SAMN18572639	Tuberculosis
SAMN18614372	Tuberculosis
SAMN19110219	Tuberculosis
SAMN19110220	Tuberculosis
SAMN19129632	Mycobacterium tuberculosis
SAMN19129633	Mycobacterium tuberculosis
SAMN19960505	ENDOPTHALMITIS
SAMN20355888	Pulmonary Tuberculosis
SAMN20355891	Pulmonary Tuberculosis
SAMN20355905	Pulmonary Tuberculosis
SAMN20600143	Pulmonary Tuberculosis
SAMN20600144	Pulmonary Tuberculosis
SAMN20600146	Pulmonary Tuberculosis
SAMN20600150	Pulmonary Tuberculosis
SAMN20600152	Pulmonary Tuberculosis
SAMN20600154	Pulmonary Tuberculosis
SAMN20600155	Pulmonary Tuberculosis
SAMN20600163	Pulmonary Tuberculosis
SAMN21018175	Tuberculosis
SAMN21018176	Tuberculosis
SAMN21018177	Tuberculosis
SAMN21018178	Tuberculosis
SAMN21194396	Tuberculosis
SAMN21558691	Tuberculosis
SAMN22322590	Pulmonary Tuberculosis
SAMN23441947	Tuberculosis
SAMN27028218	Mycobacterium tuberculosis
SAMN27028219	Mycobacterium tuberculosis
SAMN27028220	Mycobacterium tuberculosis
SAMN27028221	Mycobacterium tuberculosis
