BioSample	host_disease
SAMN05918576	Tuberculosis
SAMN05918577	Tuberculosis
SAMN05918578	Tuberculosis
SAMN05918579	Tuberculosis
SAMN05918580	Tuberculosis
SAMN05918581	Tuberculosis
SAMN05918582	Tuberculosis
SAMN05918583	Tuberculosis
SAMN05918584	Tuberculosis
SAMN05918585	Tuberculosis
SAMN05918586	Tuberculosis
SAMN05918587	Tuberculosis
SAMN05918588	Tuberculosis
SAMN05918589	Tuberculosis
SAMN05918590	Tuberculosis
SAMN05918591	Tuberculosis
SAMN05918592	Tuberculosis
SAMN05918593	Tuberculosis
SAMN05918594	Tuberculosis
SAMN05918595	Tuberculosis
SAMN05918596	Tuberculosis
SAMN05918597	Tuberculosis
SAMN05918598	Tuberculosis
SAMN05918599	Tuberculosis
SAMN05918600	Tuberculosis
SAMN05918601	Tuberculosis
SAMN05918602	Tuberculosis
SAMN05918603	Tuberculosis
SAMN05918604	Tuberculosis
SAMN05918605	Tuberculosis
SAMN05918606	Tuberculosis
SAMN05918607	Tuberculosis
SAMN05918608	Tuberculosis
SAMN05918609	Tuberculosis
SAMN05918610	Tuberculosis
SAMN05918611	Tuberculosis
SAMN05918612	Tuberculosis
SAMN05918615	Tuberculosis
SAMN05918616	Tuberculosis
SAMN05918617	Tuberculosis
SAMN05918618	Tuberculosis
SAMN05918619	Tuberculosis
SAMN05918620	Tuberculosis
SAMN05918621	Tuberculosis
SAMN05918622	Tuberculosis
SAMN05918623	Tuberculosis
SAMN05918624	Tuberculosis
SAMN05918625	Tuberculosis
SAMN05918626	Tuberculosis
SAMN05918627	Tuberculosis
SAMN05918628	Tuberculosis
SAMN05918629	Tuberculosis
SAMN05918630	Tuberculosis
SAMN05918631	Tuberculosis
SAMN05918632	Tuberculosis
SAMN05918633	Tuberculosis
SAMN05918634	Tuberculosis
SAMN05918635	Tuberculosis
SAMN05918636	Tuberculosis
SAMN05918637	Tuberculosis
SAMN05918638	Tuberculosis
SAMN05918639	Tuberculosis
SAMN05918640	Tuberculosis
SAMN05918641	Tuberculosis
SAMN05918642	Tuberculosis
SAMN05918643	Tuberculosis
SAMN05918644	Tuberculosis
SAMN05918645	Tuberculosis
SAMN05918646	Tuberculosis
SAMN05918647	Tuberculosis
SAMN05918648	Tuberculosis
SAMN05918649	Tuberculosis
SAMN05918650	Tuberculosis
SAMN05918651	Tuberculosis
SAMN05918652	Tuberculosis
SAMN05918653	Tuberculosis
SAMN05918654	Tuberculosis
SAMN05918655	Tuberculosis
SAMN05918656	Tuberculosis
SAMN05918657	Tuberculosis
SAMN05918658	Tuberculosis
SAMN05918659	Tuberculosis
SAMN05918660	Tuberculosis
SAMN05918661	Tuberculosis
SAMN05918662	Tuberculosis
SAMN05918663	Tuberculosis
SAMN05918664	Tuberculosis
SAMN05918665	Tuberculosis
SAMN05918666	Tuberculosis
SAMN05918667	Tuberculosis
SAMN05918668	Tuberculosis
SAMN05918669	Tuberculosis
SAMN05918670	Tuberculosis
SAMN05918671	Tuberculosis
SAMN05918672	Tuberculosis
SAMN05918673	Tuberculosis
SAMN05918674	Tuberculosis
SAMN05918675	Tuberculosis
SAMN05918676	Tuberculosis
SAMN05918677	Tuberculosis
SAMN05918678	Tuberculosis
SAMN05918679	Tuberculosis
SAMN05918680	Tuberculosis
SAMN05918681	Tuberculosis
SAMN05918682	Tuberculosis
SAMN05918683	Tuberculosis
SAMN05918684	Tuberculosis
SAMN05918685	Tuberculosis
SAMN05918686	Tuberculosis
SAMN05918687	Tuberculosis
SAMN05918688	Tuberculosis
SAMN05918689	Tuberculosis
SAMN05918690	Tuberculosis
SAMN05918691	Tuberculosis
SAMN05918692	Tuberculosis
SAMN05918693	Tuberculosis
SAMN05918694	Tuberculosis
SAMN05918695	Tuberculosis
SAMN05918696	Tuberculosis
SAMN05918697	Tuberculosis
SAMN05918698	Tuberculosis
SAMN05918699	Tuberculosis
SAMN05918700	Tuberculosis
SAMN05918701	Tuberculosis
SAMN05918702	Tuberculosis
SAMN05918703	Tuberculosis
SAMN05918704	Tuberculosis
SAMN05918705	Tuberculosis
SAMN05918706	Tuberculosis
SAMN05918707	Tuberculosis
SAMN05918708	Tuberculosis
SAMN05918709	Tuberculosis
SAMN05918710	Tuberculosis
SAMN05918711	Tuberculosis
SAMN05918712	Tuberculosis
SAMN05918713	Tuberculosis
SAMN05918714	Tuberculosis
SAMN05918715	Tuberculosis
SAMN05918716	Tuberculosis
SAMN05918717	Tuberculosis
SAMN05918718	Tuberculosis
SAMN05918719	Tuberculosis
SAMN05918720	Tuberculosis
SAMN05918721	Tuberculosis
SAMN05918722	Tuberculosis
SAMN05918723	Tuberculosis
SAMN05918724	Tuberculosis
SAMN05918725	Tuberculosis
SAMN05918726	Tuberculosis
SAMN05918728	Tuberculosis
SAMN05918729	Tuberculosis
SAMN05918730	Tuberculosis
SAMN05918731	Tuberculosis
SAMN05918732	Tuberculosis
SAMN05918733	Tuberculosis
SAMN05918734	Tuberculosis
SAMN05918735	Tuberculosis
SAMN05918736	Tuberculosis
SAMN05918737	Tuberculosis
SAMN05918738	Tuberculosis
SAMN05918739	Tuberculosis
SAMN05918740	Tuberculosis
SAMN05918741	Tuberculosis
SAMN05918742	Tuberculosis
SAMN05918743	Tuberculosis
SAMN05918744	Tuberculosis
SAMN05918745	Tuberculosis
SAMN05918746	Tuberculosis
SAMN05918747	Tuberculosis
SAMN05918748	Tuberculosis
SAMN05918749	Tuberculosis
SAMN05918750	Tuberculosis
SAMN05918751	Tuberculosis
SAMN05918752	Tuberculosis
SAMN05918753	Tuberculosis
SAMN05918754	Tuberculosis
SAMN05918755	Tuberculosis
SAMN05918756	Tuberculosis
SAMN05918757	Tuberculosis
SAMN05918758	Tuberculosis
SAMN05918759	Tuberculosis
SAMN05918760	Tuberculosis
SAMN05918761	Tuberculosis
SAMN05918762	Tuberculosis
SAMN05918763	Tuberculosis
SAMN05918764	Tuberculosis
SAMN05918765	Tuberculosis
SAMN05918766	Tuberculosis
SAMN05918767	Tuberculosis
SAMN05918768	Tuberculosis
SAMN05918769	Tuberculosis
SAMN05918770	Tuberculosis
SAMN05918771	Tuberculosis
SAMN05918772	Tuberculosis
SAMN05918773	Tuberculosis
SAMN05918774	Tuberculosis
SAMN05918775	Tuberculosis
SAMN05918776	Tuberculosis
SAMN05918777	Tuberculosis
SAMN05918778	Tuberculosis
SAMN05918779	Tuberculosis
SAMN05918780	Tuberculosis
SAMN05918917	Tuberculosis
SAMN05918918	Tuberculosis
SAMN05918919	Tuberculosis
SAMN05918920	Tuberculosis
SAMN05918921	Tuberculosis
SAMN05918922	Tuberculosis
SAMN05918923	Tuberculosis
SAMN05918924	Tuberculosis
SAMN05918925	Tuberculosis
SAMN05918926	Tuberculosis
SAMN05918927	Tuberculosis
SAMN05918928	Tuberculosis
SAMN05918929	Tuberculosis
SAMN05918930	Tuberculosis
SAMN05918931	Tuberculosis
SAMN05918932	Tuberculosis
SAMN05918933	Tuberculosis
SAMN05918934	Tuberculosis
SAMN05918935	Tuberculosis
SAMN05918936	Tuberculosis
SAMN05918937	Tuberculosis
SAMN05918938	Tuberculosis
SAMN05918939	Tuberculosis
SAMN05918940	Tuberculosis
SAMN05918941	Tuberculosis
SAMN05918942	Tuberculosis
SAMN05918943	Tuberculosis
SAMN05918944	Tuberculosis
SAMN05918945	Tuberculosis
SAMN05918946	Tuberculosis
SAMN05918947	Tuberculosis
SAMN05918948	Tuberculosis
SAMN05918949	Tuberculosis
SAMN05918950	Tuberculosis
SAMN05918951	Tuberculosis
SAMN05918952	Tuberculosis
SAMN05918953	Tuberculosis
SAMN05918954	Tuberculosis
SAMN05918955	Tuberculosis
SAMN05918956	Tuberculosis
SAMN05918957	Tuberculosis
SAMN05918958	Tuberculosis
SAMN05918959	Tuberculosis
SAMN05918960	Tuberculosis
SAMN05919545	Tuberculosis
SAMN05919546	Tuberculosis
SAMN05919547	Tuberculosis
SAMN05919548	Tuberculosis
SAMN05919549	Tuberculosis
SAMN05919550	Tuberculosis
SAMN05919551	Tuberculosis
SAMN05919552	Tuberculosis
SAMN05919553	Tuberculosis
SAMN05919554	Tuberculosis
SAMN05919555	Tuberculosis
SAMN05919556	Tuberculosis
SAMN05919557	Tuberculosis
SAMN05919558	Tuberculosis
SAMN05919559	Tuberculosis
SAMN05919560	Tuberculosis
SAMN05919561	Tuberculosis
SAMN05919562	Tuberculosis
SAMN05919563	Tuberculosis
SAMN05919564	Tuberculosis
SAMN05919565	Tuberculosis
SAMN05919566	Tuberculosis
SAMN05919567	Tuberculosis
SAMN05919568	Tuberculosis
SAMN05919569	Tuberculosis
SAMN05919570	Tuberculosis
SAMN05919571	Tuberculosis
SAMN05919572	Tuberculosis
SAMN05919573	Tuberculosis
SAMN05919574	Tuberculosis
SAMN05919575	Tuberculosis
SAMN05919576	Tuberculosis
SAMN05919577	Tuberculosis
SAMN05919578	Tuberculosis
SAMN05919579	Tuberculosis
SAMN05919580	Tuberculosis
SAMN05919581	Tuberculosis
SAMN05919582	Tuberculosis
SAMN05919583	Tuberculosis
SAMN05919584	Tuberculosis
SAMN05919585	Tuberculosis
SAMN05919586	Tuberculosis
SAMN05919587	Tuberculosis
SAMN05919588	Tuberculosis
SAMN05919589	Tuberculosis
SAMN05919590	Tuberculosis
SAMN05919591	Tuberculosis
SAMN05919592	Tuberculosis
SAMN05919593	Tuberculosis
SAMN05919594	Tuberculosis
SAMN05919595	Tuberculosis
SAMN05919596	Tuberculosis
SAMN05919597	Tuberculosis
SAMN05919598	Tuberculosis
SAMN05919599	Tuberculosis
SAMN05919600	Tuberculosis
SAMN05919601	Tuberculosis
SAMN05919602	Tuberculosis
SAMN05919603	Tuberculosis
SAMN05919604	Tuberculosis
SAMN05919605	Tuberculosis
SAMN05919606	Tuberculosis
SAMN05919607	Tuberculosis
SAMN05919608	Tuberculosis
SAMN05919609	Tuberculosis
SAMN05919610	Tuberculosis
SAMN05919611	Tuberculosis
SAMN05919613	Tuberculosis
SAMN05919614	Tuberculosis
SAMN05919615	Tuberculosis
SAMN05919616	Tuberculosis
SAMN05919617	Tuberculosis
SAMN05919618	Tuberculosis
SAMN05919619	Tuberculosis
SAMN05919620	Tuberculosis
SAMN05919621	Tuberculosis
SAMN05919622	Tuberculosis
SAMN05919623	Tuberculosis
SAMN05919624	Tuberculosis
SAMN05919625	Tuberculosis
SAMN05919626	Tuberculosis
SAMN05919627	Tuberculosis
SAMN05919628	Tuberculosis
SAMN05919629	Tuberculosis
SAMN05919630	Tuberculosis
SAMN05919631	Tuberculosis
SAMN05919632	Tuberculosis
SAMN05919633	Tuberculosis
SAMN05919634	Tuberculosis
SAMN05919635	Tuberculosis
SAMN05919636	Tuberculosis
SAMN05919637	Tuberculosis
SAMN05919638	Tuberculosis
SAMN05919639	Tuberculosis
SAMN05919640	Tuberculosis
SAMN05919641	Tuberculosis
SAMN05919642	Tuberculosis
SAMN05919643	Tuberculosis
SAMN05919644	Tuberculosis
SAMN05919645	Tuberculosis
SAMN05919646	Tuberculosis
SAMN05919647	Tuberculosis
SAMN05919648	Tuberculosis
SAMN05919649	Tuberculosis
SAMN05919650	Tuberculosis
SAMN05919651	Tuberculosis
SAMN05919652	Tuberculosis
SAMN05919653	Tuberculosis
SAMN05919654	Tuberculosis
SAMN05919655	Tuberculosis
SAMN05919656	Tuberculosis
SAMN05919657	Tuberculosis
SAMN05919658	Tuberculosis
SAMN05919659	Tuberculosis
SAMN05919660	Tuberculosis
SAMN05919661	Tuberculosis
SAMN05919662	Tuberculosis
SAMN05919663	Tuberculosis
SAMN05919664	Tuberculosis
SAMN05919665	Tuberculosis
SAMN05919666	Tuberculosis
SAMN05919667	Tuberculosis
SAMN05919668	Tuberculosis
SAMN05919669	Tuberculosis
SAMN05919670	Tuberculosis
SAMN05919671	Tuberculosis
SAMN05933692	Tuberculosis
SAMN05933699	Tuberculosis
SAMN06010119	Tuberculosis
SAMN06010120	Tuberculosis
SAMN06010121	Tuberculosis
SAMN06010122	Tuberculosis
SAMN06010123	Tuberculosis
