BioSample	collection_date
SAMEA1403986	2009
SAMEA1403987	2009
SAMEA1403988	2009
SAMEA1403989	2009
SAMEA1403990	2009
SAMEA1403991	2009
SAMEA1403992	2009
SAMEA1403993	2008
SAMEA1403995	2009
SAMEA1403996	2008
SAMEA1403997	2009
SAMEA1403998	2009
SAMEA1403999	2009
SAMEA1404001	2009
SAMEA1404002	2008
SAMEA1404003	2009
SAMEA1404004	2009
SAMEA1404005	2009
SAMEA1404006	2009
SAMEA1404007	2008
SAMEA1404008	2009
SAMEA1404009	2009
SAMEA1404010	2008
SAMEA1404011	2009
SAMEA1404012	2009
SAMEA1404013	2008
SAMEA1404014	2009
SAMEA1404015	2009
SAMEA1404016	2009
SAMEA1404017	2009
SAMEA1404018	2009
SAMEA1404020	2009
SAMEA1404021	2009
SAMEA1404022	2009
SAMEA1404023	2009
SAMEA1404024	2009
SAMEA1404025	2009
SAMEA1404026	2008
SAMEA1404027	2009
SAMEA1404028	2009
SAMEA1404029	2009
SAMEA1404030	2009
SAMEA1404031	2008
SAMEA1404032	2009
SAMEA1404033	2009
SAMEA1404035	2009
SAMEA1404036	2009
SAMEA1404038	2008
SAMEA1404039	2009
SAMEA1404040	2008
SAMEA1404041	2009
SAMEA1404042	2008
SAMEA1404043	2009
SAMEA1404044	2009
SAMEA1404045	2009
SAMEA1404046	2008
SAMEA1404047	2009
SAMEA1404048	2009
SAMEA1469485	2009
SAMEA1469486	2009
SAMEA1469487	2009
SAMEA1469488	2009
SAMEA1469489	2009
SAMEA1469490	2009
SAMEA1469491	2009
SAMEA1469492	2009
SAMEA1469493	2009
SAMEA1469494	2009
SAMEA1469495	2009
SAMEA1469497	2008
SAMEA1469498	2009
SAMEA1469499	2009
SAMEA1469500	2009
SAMEA1469501	2008
SAMEA1469502	2008
SAMEA1469503	2008
SAMEA1469504	2008
SAMEA1469506	2009
SAMEA1469507	2009
SAMEA1469508	2009
SAMEA1469509	2011
SAMEA1469510	2009
SAMEA1469511	2011
SAMEA1469512	2005
SAMEA1469513	2009
SAMEA1469514	2009
SAMEA1469515	2009
SAMEA1469516	2009
SAMEA1469517	2011
SAMEA1469518	2011
SAMEA1469519	2011
SAMEA1469520	2009
SAMEA1469521	2011
SAMEA1469522	2009
SAMEA1469523	2011
SAMEA1469524	2009
SAMEA1469525	2011
SAMEA1469526	2009
SAMEA1469527	2011
SAMEA1469528	2009
SAMEA1469529	2009
SAMEA1469531	2011
SAMEA1469532	2009
SAMEA1523352	2008/2014
SAMEA1523353	2008/2014
SAMEA1523354	2008/2014
SAMEA1523355	2008/2014
SAMEA1523356	2008/2014
SAMEA1523357	2008/2014
SAMEA1523358	2008/2014
SAMEA1523359	2008/2014
SAMEA1523360	2008/2014
SAMEA1523361	2008/2014
SAMEA1523362	2008/2014
SAMEA1523363	2008/2014
SAMEA1523364	2008/2014
SAMEA1523365	2008/2014
SAMEA1523366	2008/2014
SAMEA1523367	2008/2014
SAMEA1523369	2008/2014
SAMEA1523371	2008/2014
SAMEA1523372	2008/2014
SAMEA1523373	2008/2014
SAMEA1523374	2008/2014
SAMEA1523375	2008/2014
SAMEA1523376	2008/2014
SAMEA1523377	2008/2014
SAMEA1523378	2008/2014
SAMEA1523379	2008/2014
SAMEA1523380	2008/2014
SAMEA1523381	2008/2014
SAMEA1523382	2008/2014
SAMEA1523383	2008/2014
SAMEA1523384	2008/2014
SAMEA1523385	2008/2014
SAMEA1523386	2008/2014
SAMEA1523387	2008/2014
SAMEA1523388	2008/2014
SAMEA1523389	2008/2014
SAMEA1706654	1997-08
SAMEA1706656	1995-09
SAMEA1706657	1995-04
SAMEA1706658	1997-08
SAMEA1706659	1994-05
SAMEA1706660	1995-10
SAMEA1706662	1996-12
SAMEA1706663	1997-05
SAMEA1706664	1995-11
SAMEA1706665	1997-04
SAMEA1706666	1994-08
SAMEA1706667	2004-10
SAMEA1706670	1998-05
SAMEA1706671	2004-08
SAMEA1706672	1995-01
SAMEA1706673	2000-03
SAMEA1706674	1997-03
SAMEA1706675	1997-06
SAMEA1706676	1997-07
SAMEA1706677	1996-11
SAMEA1706679	1997-04
SAMEA1706680	2001-05
SAMEA1706681	1994-10
SAMEA1706682	1995-07
SAMEA1706683	1995-01
SAMEA1706684	1995-12
SAMEA1706685	1994-05
SAMEA1706686	1996-04
SAMEA1706688	1998-12
SAMEA1706689	1995-06
SAMEA1706690	1995-05
SAMEA1706691	1998-11
SAMEA1706692	1995-04
SAMEA1706693	1998-12
SAMEA1706694	1999-09
SAMEA1706695	1998-12
SAMEA1706696	2004-10
SAMEA1706697	1999-02
SAMEA1706698	1999-04
SAMEA1706699	1998-06
SAMEA1706702	1995-04
SAMEA1706704	2008-06
SAMEA1706705	1998-02
